PO_ID,Supplier,Item_Category,Quantity,Negotiated_Price,po_value,Order_Status
PO-00491,Delta_Logistics,Packaging,735,15.89,11679.15,Delivered
PO-00630,Beta_Supplies,Electronics,746,15.35,11451.1,Delivered
PO-00106,Delta_Logistics,MRO,865,13.14,11366.1,Cancelled
PO-00362,Beta_Supplies,Raw Materials,502,20.65,10366.3,Cancelled
PO-00208,Beta_Supplies,Office Supplies,590,15.56,9180.4,Delivered
PO-00546,Epsilon_Group,Raw Materials,199,45.64,9082.36,Delivered
PO-00084,Delta_Logistics,Raw Materials,255,33.59,8565.45,Delivered
PO-00550,Beta_Supplies,Packaging,354,23.87,8449.98,Delivered
PO-00448,Delta_Logistics,Packaging,708,11.61,8219.88,Partially Delivered
PO-00573,Delta_Logistics,MRO,96,80.32,7710.719999999999,Delivered
PO-00020,Delta_Logistics,Raw Materials,180,38.89,7000.2,Delivered
PO-00517,Beta_Supplies,Office Supplies,574,11.47,6583.780000000001,Cancelled
PO-00653,Gamma_Co,Raw Materials,72,89.49,6443.28,Partially Delivered
PO-00462,Delta_Logistics,MRO,148,40.1,5934.8,Delivered
PO-00031,Gamma_Co,Electronics,326,15.92,5189.92,Delivered
PO-00625,Delta_Logistics,Electronics,203,20.0,4060.0,Delivered
PO-00386,Beta_Supplies,Packaging,303,11.42,3460.2599999999998,Delivered
PO-00470,Delta_Logistics,Raw Materials,230,12.81,2946.3,Partially Delivered
